,REGIONID,PRODUCT,YEARWEEK,QTY,REGIONID,PRODUCT,YEARWEEK,QTY
47,A01,PRODUCT75,201403.0,23768.0,,,,
48,A01,PRODUCT8,201403.0,105.0,,,,
49,A01,PRODUCT19,201403.0,1513.0,,,,
50,A01,PRODUCT20,201403.0,59.0,,,,
51,A01,PRODUCT47,201403.0,4436.0,,,,
52,A01,PRODUCT60,201403.0,4.0,,,,
53,A01,PRODUCT56,201403.0,5449.0,,,,
54,A01,PRODUCT57,201403.0,13394.0,,,,
55,A01,PRODUCT12,201403.0,119281.0,,,,
56,A01,PRODUCT1,201403.0,21350.0,,,,
57,A01,PRODUCT33,201403.0,6940.0,,,,
58,A01,PRODUCT14,201403.0,8022.0,,,,
59,A01,PRODUCT62,201403.0,3823.0,,,,
492,A01,PRODUCT2,201401.0,225.0,,,,
493,A01,PRODUCT6,201401.0,0.0,,,,
494,A01,PRODUCT58,201401.0,0.0,,,,
495,A01,PRODUCT63,201401.0,47708.0,,,,
496,A01,PRODUCT15,201401.0,5684.0,,,,
497,A01,PRODUCT4,201401.0,18722.0,,,,
498,A01,PRODUCT16,201401.0,1316.0,,,,
499,A01,PRODUCT59,201401.0,253391.0,,,,
500,A01,PRODUCT34,201401.0,14836.0,,,,
501,A01,PRODUCT7,201401.0,1153.0,,,,
502,A01,PRODUCT75,201401.0,15798.0,,,,
503,A01,PRODUCT8,201401.0,164.0,,,,
504,A01,PRODUCT19,201401.0,1519.0,,,,
505,A01,PRODUCT20,201401.0,41.0,,,,
506,A01,PRODUCT47,201401.0,5650.0,,,,
507,A01,PRODUCT60,201401.0,13.0,,,,
508,A01,PRODUCT56,201401.0,5000.0,,,,
509,A01,PRODUCT57,201401.0,9660.0,,,,
510,A01,PRODUCT12,201401.0,139564.0,,,,
511,A01,PRODUCT1,201401.0,14115.0,,,,
512,A01,PRODUCT33,201401.0,7043.0,,,,
513,A01,PRODUCT14,201401.0,9844.0,,,,
514,A01,PRODUCT62,201401.0,5987.0,,,,
1074,,,,,A20,PRODUCT58,201401.0,0.0
1075,,,,,A20,PRODUCT59,201401.0,14012.0
1076,,,,,A20,PRODUCT34,201401.0,422.0
1548,,,,,A20,PRODUCT58,201403.0,0.0
1549,,,,,A20,PRODUCT59,201403.0,13659.0
1550,,,,,A20,PRODUCT34,201403.0,508.0
1605,,,,,A20,PRODUCT58,201402.0,0.0
1606,,,,,A20,PRODUCT59,201402.0,13878.0
1607,,,,,A20,PRODUCT34,201402.0,473.0
2185,A01,PRODUCT2,201404.0,203.0,,,,
2186,A01,PRODUCT6,201404.0,0.0,,,,
2187,A01,PRODUCT58,201404.0,0.0,,,,
2188,A01,PRODUCT63,201404.0,37305.0,,,,
2189,A01,PRODUCT15,201404.0,4341.0,,,,
2190,A01,PRODUCT4,201404.0,21018.0,,,,
2191,A01,PRODUCT16,201404.0,905.0,,,,
2192,A01,PRODUCT59,201404.0,240723.0,,,,
2193,A01,PRODUCT34,201404.0,13798.0,,,,
2194,A01,PRODUCT7,201404.0,792.0,,,,
2195,A01,PRODUCT75,201404.0,23462.0,,,,
