,REGIONID,PRODUCT,YEARWEEK,QTY,REGIONID,PRODUCT,YEARWEEK,QTY
47,A01,PRODUCT75,201403,23768,,,,
48,A01,PRODUCT8,201403,105,,,,
49,A01,PRODUCT19,201403,1513,,,,
50,A01,PRODUCT20,201403,59,,,,
51,A01,PRODUCT47,201403,4436,,,,
52,A01,PRODUCT60,201403,4,,,,
53,A01,PRODUCT56,201403,5449,,,,
54,A01,PRODUCT57,201403,13394,,,,
55,A01,PRODUCT12,201403,119281,,,,
56,A01,PRODUCT1,201403,21350,,,,
57,A01,PRODUCT33,201403,6940,,,,
58,A01,PRODUCT14,201403,8022,,,,
59,A01,PRODUCT62,201403,3823,,,,
492,A01,PRODUCT2,201401,225,,,,
493,A01,PRODUCT6,201401,0,,,,
494,A01,PRODUCT58,201401,0,,,,
495,A01,PRODUCT63,201401,47708,,,,
496,A01,PRODUCT15,201401,5684,,,,
497,A01,PRODUCT4,201401,18722,,,,
498,A01,PRODUCT16,201401,1316,,,,
499,A01,PRODUCT59,201401,253391,,,,
500,A01,PRODUCT34,201401,14836,,,,
501,A01,PRODUCT7,201401,1153,,,,
502,A01,PRODUCT75,201401,15798,,,,
503,A01,PRODUCT8,201401,164,,,,
504,A01,PRODUCT19,201401,1519,,,,
505,A01,PRODUCT20,201401,41,,,,
506,A01,PRODUCT47,201401,5650,,,,
507,A01,PRODUCT60,201401,13,,,,
508,A01,PRODUCT56,201401,5000,,,,
509,A01,PRODUCT57,201401,9660,,,,
510,A01,PRODUCT12,201401,139564,,,,
511,A01,PRODUCT1,201401,14115,,,,
512,A01,PRODUCT33,201401,7043,,,,
513,A01,PRODUCT14,201401,9844,,,,
514,A01,PRODUCT62,201401,5987,,,,
1074,,,,,A20,PRODUCT58,201401,0
1075,,,,,A20,PRODUCT59,201401,14012
1076,,,,,A20,PRODUCT34,201401,422
1548,,,,,A20,PRODUCT58,201403,0
1549,,,,,A20,PRODUCT59,201403,13659
1550,,,,,A20,PRODUCT34,201403,508
1605,,,,,A20,PRODUCT58,201402,0
1606,,,,,A20,PRODUCT59,201402,13878
1607,,,,,A20,PRODUCT34,201402,473
2185,A01,PRODUCT2,201404,203,,,,
2186,A01,PRODUCT6,201404,0,,,,
2187,A01,PRODUCT58,201404,0,,,,
2188,A01,PRODUCT63,201404,37305,,,,
2189,A01,PRODUCT15,201404,4341,,,,
2190,A01,PRODUCT4,201404,21018,,,,
2191,A01,PRODUCT16,201404,905,,,,
2192,A01,PRODUCT59,201404,240723,,,,
2193,A01,PRODUCT34,201404,13798,,,,
2194,A01,PRODUCT7,201404,792,,,,
2195,A01,PRODUCT75,201404,23462,,,,
2196,A01,PRODUCT8,201404,258,,,,
2197,A01,PRODUCT19,201404,2264,,,,
2198,A01,PRODUCT20,201404,21,,,,
2199,A01,PRODUCT47,201404,4167,,,,
2200,A01,PRODUCT60,201404,10,,,,
2201,A01,PRODUCT56,201404,5436,,,,
2202,A01,PRODUCT57,201404,9196,,,,
2203,A01,PRODUCT12,201404,139609,,,,
2204,A01,PRODUCT1,201404,9457,,,,
2205,A01,PRODUCT33,201404,6041,,,,
