regionCd,regionNm,YEARMONTH,volume
11000,서울,200601,7704
11000,서울,200602,12717
11000,서울,200603,17419
11000,서울,200604,14919
11000,서울,200605,16277
11000,서울,200606,11574
11000,서울,200607,8649
11000,서울,200608,8463
11000,서울,200609,15880
11000,서울,200610,22346
11000,서울,200611,27800
11000,서울,200612,18551
11000,서울,200701,9411
11000,서울,200702,5971
11000,서울,200703,7430
11000,서울,200704,7461
11000,서울,200705,6422
11000,서울,200706,6456
11000,서울,200707,7018
11000,서울,200708,6862
11000,서울,200709,6303
11000,서울,200710,8522
11000,서울,200711,8918
11000,서울,200712,7674
11000,서울,200801,7233
11000,서울,200802,6953
11000,서울,200803,10746
11000,서울,200804,13590
11000,서울,200805,10041
11000,서울,200806,9417
11000,서울,200807,7866
11000,서울,200808,5159
11000,서울,200809,4865
11000,서울,200810,4871
11000,서울,200811,3087
11000,서울,200812,4343
11000,서울,200901,4358
11000,서울,200902,6242
11000,서울,200903,7721
11000,서울,200904,9802
11000,서울,200905,9985
11000,서울,200906,10927
11000,서울,200907,11390
11000,서울,200908,10714
11000,서울,200909,11388
11000,서울,200910,9564
11000,서울,200911,6082
11000,서울,200912,6279
11000,서울,201001,5492
11000,서울,201002,6809
11000,서울,201003,7484
11000,서울,201004,5586
11000,서울,201005,4033
11000,서울,201006,3821
11000,서울,201007,3627
11000,서울,201008,4094
11000,서울,201009,3995
11000,서울,201010,5116
11000,서울,201011,7062
11000,서울,201012,9182
11000,서울,201101,7089
11000,서울,201102,7739
11000,서울,201103,9472
11000,서울,201104,7062
11000,서울,201105,6229
11000,서울,201106,5844
11000,서울,201107,5168
11000,서울,201108,6178
11000,서울,201109,6128
11000,서울,201110,6067
11000,서울,201111,5643
11000,서울,201112,7918
11000,서울,201201,2959
11000,서울,201202,4628
11000,서울,201203,5339
11000,서울,201204,5440
11000,서울,201205,5099
11000,서울,201206,4427
11000,서울,201207,4120
11000,서울,201208,3190
11000,서울,201209,3002
11000,서울,201210,5969
11000,서울,201211,6897
11000,서울,201212,9770
11000,서울,201301,3041
11000,서울,201302,4211
11000,서울,201303,6820
11000,서울,201304,8291
11000,서울,201305,9537
11000,서울,201306,12697
11000,서울,201307,4768
11000,서울,201308,5460
11000,서울,201309,6069
11000,서울,201310,10083
11000,서울,201311,9649
11000,서울,201312,10391
11000,서울,201401,8501
11000,서울,201402,10089
11000,서울,201403,12053
11000,서울,201404,10641
11000,서울,201405,7682
11000,서울,201406,7234
11000,서울,201407,9259
11000,서울,201408,10838
11000,서울,201409,12309
11000,서울,201410,15261
11000,서울,201411,11437
11000,서울,201412,9474
11000,서울,201501,8227
11000,서울,201502,10085
11000,서울,201503,15689
11000,서울,201504,16107
11000,서울,201505,15673
11000,서울,201506,14497
11000,서울,201507,15332
11000,서울,201508,12605
11000,서울,201509,10928
11000,서울,201510,13701
11000,서울,201511,12691
11000,서울,201512,10802
11000,서울,201601,7589
11000,서울,201602,7520
11000,서울,201603,10472
11000,서울,201604,11129
11000,서울,201605,13094
11000,서울,201606,14762
11000,서울,201607,17633
11000,서울,201608,16519
11000,서울,201609,13637
11000,서울,201610,16319
11000,서울,201611,13838
11000,서울,201612,12540
11000,서울,201701,7720
11000,서울,201702,8064
11000,서울,201703,9979
11000,서울,201704,12276
11000,서울,201705,14593
11000,서울,201706,19044
11000,서울,201707,18541
11000,서울,201708,22647
11000,서울,201709,14688
11000,서울,201710,9090
11000,서울,201711,11616
11000,서울,201712,16955
11000,서울,201801,18212
11000,서울,201802,15305
11000,서울,201803,20673
11000,서울,201804,10130
11000,서울,201805,12312
11000,서울,201806,9013
11000,서울,201807,13648
11000,서울,201808,13182
11000,서울,201809,17564
11000,서울,201810,16609
11000,서울,201811,7848
11000,서울,201812,6590
11000,서울,201901,7000
11000,서울,201902,4625
11000,서울,201903,6464
26000,부산,200601,4592
26000,부산,200602,6064
26000,부산,200603,6482
26000,부산,200604,5839
26000,부산,200605,6192
26000,부산,200606,4887
26000,부산,200607,3350
26000,부산,200608,3068
26000,부산,200609,5920
26000,부산,200610,5037
26000,부산,200611,8146
26000,부산,200612,6992
26000,부산,200701,4797
26000,부산,200702,3808
26000,부산,200703,4814
26000,부산,200704,5376
26000,부산,200705,4405
26000,부산,200706,4017
26000,부산,200707,3922
26000,부산,200708,4036
26000,부산,200709,3701
26000,부산,200710,5219
26000,부산,200711,5552
26000,부산,200712,6018
26000,부산,200801,5262
26000,부산,200802,5427
26000,부산,200803,5522
26000,부산,200804,8108
26000,부산,200805,6547
26000,부산,200806,6053
26000,부산,200807,6005
26000,부산,200808,4388
26000,부산,200809,4039
26000,부산,200810,4612
26000,부산,200811,3820
26000,부산,200812,3753
26000,부산,200901,3197
26000,부산,200902,4398
26000,부산,200903,5910
26000,부산,200904,5725
26000,부산,200905,5227
26000,부산,200906,7039
26000,부산,200907,6475
26000,부산,200908,6268
26000,부산,200909,7142
26000,부산,200910,7317
26000,부산,200911,7309
26000,부산,200912,7180
26000,부산,201001,5944
26000,부산,201002,6272
26000,부산,201003,6588
26000,부산,201004,7655
26000,부산,201005,6293
26000,부산,201006,6231
26000,부산,201007,5304
26000,부산,201008,5116
26000,부산,201009,4567
26000,부산,201010,6422
26000,부산,201011,8237
26000,부산,201012,10485
26000,부산,201101,6973
26000,부산,201102,7176
26000,부산,201103,8011
26000,부산,201104,8753
26000,부산,201105,7091
26000,부산,201106,6451
26000,부산,201107,5916
26000,부산,201108,5618
26000,부산,201109,4509
26000,부산,201110,5391
26000,부산,201111,6346
26000,부산,201112,9251
26000,부산,201201,3993
26000,부산,201202,3356
26000,부산,201203,4433
26000,부산,201204,5336
26000,부산,201205,4580
26000,부산,201206,4763
26000,부산,201207,4940
26000,부산,201208,4004
26000,부산,201209,3136
26000,부산,201210,5170
26000,부산,201211,5598
26000,부산,201212,7941
26000,부산,201301,3312
26000,부산,201302,4054
26000,부산,201303,5884
26000,부산,201304,7369
26000,부산,201305,7903
26000,부산,201306,10563
26000,부산,201307,5337
26000,부산,201308,5763
26000,부산,201309,4823
26000,부산,201310,7787
26000,부산,201311,7548
26000,부산,201312,8619
26000,부산,201401,6019
26000,부산,201402,6615
26000,부산,201403,7357
26000,부산,201404,7643
26000,부산,201405,7376
26000,부산,201406,7026
26000,부산,201407,8415
26000,부산,201408,7438
26000,부산,201409,8113
26000,부산,201410,9035
26000,부산,201411,9021
26000,부산,201412,10939
26000,부산,201501,9336
26000,부산,201502,7829
26000,부산,201503,9557
26000,부산,201504,10799
26000,부산,201505,9793
26000,부산,201506,10312
26000,부산,201507,11294
26000,부산,201508,9473
26000,부산,201509,7828
26000,부산,201510,9940
26000,부산,201511,10613
26000,부산,201512,9727
26000,부산,201601,7315
26000,부산,201602,5198
26000,부산,201603,7695
26000,부산,201604,7104
26000,부산,201605,7735
26000,부산,201606,9362
26000,부산,201607,7454
26000,부산,201608,8825
26000,부산,201609,10685
26000,부산,201610,11020
26000,부산,201611,10539
26000,부산,201612,9113
26000,부산,201701,6177
26000,부산,201702,6520
26000,부산,201703,7173
26000,부산,201704,9217
26000,부산,201705,8820
26000,부산,201706,7685
26000,부산,201707,7555
26000,부산,201708,13300
26000,부산,201709,7015
26000,부산,201710,5720
26000,부산,201711,10278
26000,부산,201712,8333
26000,부산,201801,10382
26000,부산,201802,5588
26000,부산,201803,8300
26000,부산,201804,6081
26000,부산,201805,6193
26000,부산,201806,6046
26000,부산,201807,6559
26000,부산,201808,4420
26000,부산,201809,5715
26000,부산,201810,6672
26000,부산,201811,7358
26000,부산,201812,7549
26000,부산,201901,5724
26000,부산,201902,5600
26000,부산,201903,4900
27000,대구,200601,3684
27000,대구,200602,4797
27000,대구,200603,4925
27000,대구,200604,4377
27000,대구,200605,3838
27000,대구,200606,3389
27000,대구,200607,2781
27000,대구,200608,2454
27000,대구,200609,3632
27000,대구,200610,3837
27000,대구,200611,5234
27000,대구,200612,6581
27000,대구,200701,4344
27000,대구,200702,2877
27000,대구,200703,3471
27000,대구,200704,4055
27000,대구,200705,3802
27000,대구,200706,3727
27000,대구,200707,2908
27000,대구,200708,3814
27000,대구,200709,2338
27000,대구,200710,3449
27000,대구,200711,3697
27000,대구,200712,4466
27000,대구,200801,5545
27000,대구,200802,3696
27000,대구,200803,4093
27000,대구,200804,4099
27000,대구,200805,3356
27000,대구,200806,3422
27000,대구,200807,3910
27000,대구,200808,3187
27000,대구,200809,3696
27000,대구,200810,3923
27000,대구,200811,3424
27000,대구,200812,3166
27000,대구,200901,2490
27000,대구,200902,3049
27000,대구,200903,5007
27000,대구,200904,3318
27000,대구,200905,3944
27000,대구,200906,4298
27000,대구,200907,3452
27000,대구,200908,3844
27000,대구,200909,4574
27000,대구,200910,4115
27000,대구,200911,3361
27000,대구,200912,3500
27000,대구,201001,2723
27000,대구,201002,4149
27000,대구,201003,3735
27000,대구,201004,3374
27000,대구,201005,2925
27000,대구,201006,2505
27000,대구,201007,2568
27000,대구,201008,2840
27000,대구,201009,3325
27000,대구,201010,3577
27000,대구,201011,4398
27000,대구,201012,5652
27000,대구,201101,3811
27000,대구,201102,4619
27000,대구,201103,5453
27000,대구,201104,5602
27000,대구,201105,4853
27000,대구,201106,5002
27000,대구,201107,5105
27000,대구,201108,4868
27000,대구,201109,4918
27000,대구,201110,4886
27000,대구,201111,5079
27000,대구,201112,6881
27000,대구,201201,1870
27000,대구,201202,4841
27000,대구,201203,5163
27000,대구,201204,4769
27000,대구,201205,4245
27000,대구,201206,3578
27000,대구,201207,3515
27000,대구,201208,3544
27000,대구,201209,3884
27000,대구,201210,5729
27000,대구,201211,5765
27000,대구,201212,7923
27000,대구,201301,2526
27000,대구,201302,3782
27000,대구,201303,4744
27000,대구,201304,6351
27000,대구,201305,7375
27000,대구,201306,10752
27000,대구,201307,4538
27000,대구,201308,4263
27000,대구,201309,4189
27000,대구,201310,6102
27000,대구,201311,6416
27000,대구,201312,7464
27000,대구,201401,6248
27000,대구,201402,6432
27000,대구,201403,5984
27000,대구,201404,6371
27000,대구,201405,5125
27000,대구,201406,5435
27000,대구,201407,4855
27000,대구,201408,5389
27000,대구,201409,4741
27000,대구,201410,6182
27000,대구,201411,5734
27000,대구,201412,5535
27000,대구,201501,5254
27000,대구,201502,5637
27000,대구,201503,7603
27000,대구,201504,7677
27000,대구,201505,6245
27000,대구,201506,6406
27000,대구,201507,8102
27000,대구,201508,5025
27000,대구,201509,4523
27000,대구,201510,4576
27000,대구,201511,4016
27000,대구,201512,3604
27000,대구,201601,2535
27000,대구,201602,3239
27000,대구,201603,3573
27000,대구,201604,4575
27000,대구,201605,3770
27000,대구,201606,5046
27000,대구,201607,4650
27000,대구,201608,5166
27000,대구,201609,5495
27000,대구,201610,6009
27000,대구,201611,5936
27000,대구,201612,5193
27000,대구,201701,3583
27000,대구,201702,4020
27000,대구,201703,4601
27000,대구,201704,4404
27000,대구,201705,4688
27000,대구,201706,6599
27000,대구,201707,8051
27000,대구,201708,8004
27000,대구,201709,7094
27000,대구,201710,4550
27000,대구,201711,5381
27000,대구,201712,4435
27000,대구,201801,4538
27000,대구,201802,4092
27000,대구,201803,5291
27000,대구,201804,4457
